optimizations,threads,array_size,exec_time
,1,100000000,2143.8263605
--opt,1,100000000,1897.0009504999998
--autoopt,1,100000000,613.5170964999999
--opt --autoopt,1,100000000,438.93231749999995
,2,100000000,1328.4275490000007
--opt,2,100000000,1262.4857670000004
--autoopt,2,100000000,433.26517299999966
--opt --autoopt,2,100000000,385.71453749999927
,4,100000000,941.7659540000001
--opt,4,100000000,915.5021834999997
--autoopt,4,100000000,398.7522909999997
--opt --autoopt,4,100000000,414.2875630000007
,8,100000000,1127.0943605000002
--opt,8,100000000,1511.2401474999988
--autoopt,8,100000000,561.5610365000006
--opt --autoopt,8,100000000,496.0189364999996
,12,100000000,1319.8646505000004
--opt,12,100000000,1094.3378090000006
--autoopt,12,100000000,392.7036109999995
--opt --autoopt,12,100000000,405.1493705000002
,16,100000000,1048.9582840000003
--opt,16,100000000,1015.0309050000002
--autoopt,16,100000000,389.3909200000003
--opt --autoopt,16,100000000,392.01202999999964
