optimizations,threads,array_size,exec_time
,1,10000000,398.4792425000001
--opt,1,10000000,322.04153649999955
--autoopt,1,10000000,283.0494625000002
--opt --autoopt,1,10000000,197.45483249999918
,2,10000000,281.0932080000002
--opt,2,10000000,258.7699670000001
--autoopt,2,10000000,170.98110199999982
--opt --autoopt,2,10000000,156.79384999999968
,3,10000000,251.62221350000013
--opt,3,10000000,242.41419750000003
--autoopt,3,10000000,159.37532799999943
--opt --autoopt,3,10000000,149.52727799999988
,4,10000000,262.2329144999993
--opt,4,10000000,245.15934049999944
--autoopt,4,10000000,167.7424125
--opt --autoopt,4,10000000,153.02076349999982
,5,10000000,262.50325349999935
--opt,5,10000000,252.0338864999996
--autoopt,5,10000000,163.66756349999977
--opt --autoopt,5,10000000,156.4329985000006
,8,10000000,256.8165910000002
--opt,8,10000000,244.90968850000039
--autoopt,8,10000000,158.72857299999941
--opt --autoopt,8,10000000,164.50866600000057
,12,10000000,252.48672999999977
--opt,12,10000000,247.15345399999978
--autoopt,12,10000000,187.7065619999998
--opt --autoopt,12,10000000,187.1013285000007
