optimizations,threads,array_size,exec_time,std_dev
,1,100000,5.544361799999997,3.1838798411493294
--opt,1,100000,3.5578312000000167,2.3998971090342565
--autoopt,1,100000,5.1836223999998765,2.8283052332975216
--opt --autoopt,1,100000,3.5347788000001046,2.147894346462486
,2,100000,5.278156999999961,3.0821106042835114
--opt,2,100000,3.345638800000028,1.7968550028986052
--autoopt,2,100000,6.725498499999993,3.2074317496724096
--opt --autoopt,2,100000,5.016315299999974,3.009647274550377
,3,100000,5.538846399999997,2.635917937804334
--opt,3,100000,3.070438700000011,1.9013200039816547
--autoopt,3,100000,5.659065899999938,2.248349403144227
--opt --autoopt,3,100000,3.8274575000000866,2.045850002882575
,4,100000,6.850611499999992,2.5584204463251874
--opt,4,100000,3.4709124000000813,1.8381411623352775
--autoopt,4,100000,5.219605599999966,2.3702177062469625
--opt --autoopt,4,100000,3.1187230000000454,2.0231339903448045
,5,100000,5.215908900000077,2.2487952488871414
--opt,5,100000,3.629392599999992,1.7197813727697795
--autoopt,5,100000,4.90221609999999,2.161633959920438
--opt --autoopt,5,100000,3.4864610999999712,1.7251300873443265
,8,100000,4.511636099999983,2.013990855520031
--opt,8,100000,4.2677277000000124,2.4680723956342527
--autoopt,8,100000,4.697324400000014,2.0764089209129812
--opt --autoopt,8,100000,3.8908239999999594,1.5951843375740877
,12,100000,4.934055399999959,2.453550409411709
--opt,12,100000,4.388624100000005,1.9467263205437078
--autoopt,12,100000,5.464128500000065,1.9733705756207962
--opt --autoopt,12,100000,4.504658799999994,1.8764392087485489
