optimizations,threads,array_size,exec_time,std_dev
,1,10000000,446.099442,59.20176740983673
--opt,1,10000000,379.57667764,60.33447784395906
--autoopt,1,10000000,301.61050832999996,66.78876752980871
--opt --autoopt,1,10000000,223.32826004999998,65.12470327293693
,2,10000000,334.31857259,48.19742131337827
--opt,2,10000000,313.12517641,34.424044833038494
--autoopt,2,10000000,186.50834578,36.51991559197797
--opt --autoopt,2,10000000,173.22377699999998,39.476360112036566
,3,10000000,291.50203416000005,34.07261676663497
--opt,3,10000000,288.67532165000006,34.99227815951047
--autoopt,3,10000000,167.61054187,34.235479015433604
--opt --autoopt,3,10000000,165.73690331,30.474625787629982
,4,10000000,302.87680957000003,51.44856435469366
--opt,4,10000000,282.29918928999996,31.020248280757055
--autoopt,4,10000000,171.77530939,33.13493667622904
--opt --autoopt,4,10000000,167.46220365000002,34.72678879665783
,5,10000000,305.96597080000004,30.468229737803583
--opt,5,10000000,291.89764014,31.460289267213287
--autoopt,5,10000000,182.50720784,31.814252018910235
--opt --autoopt,5,10000000,166.43293897,32.26757004307551
,8,10000000,300.75540746,42.17343869626125
--opt,8,10000000,284.16364446,32.37805337094113
--autoopt,8,10000000,171.26494247000002,38.2270086137671
--opt --autoopt,8,10000000,165.05873333000002,30.678004859962044
,12,10000000,329.72719123999997,72.1336588073855
--opt,12,10000000,298.86992936,38.12342309315336
--autoopt,12,10000000,186.1081247,37.125816428846214
--opt --autoopt,12,10000000,175.03086406,27.90507957166543
