optimizations,threads,array_size,exec_time,std_dev
,1,10000000,660.8567906799999,102.26773440866873
--opt,1,10000000,370.75672152000004,66.39663268592291
--autoopt,1,10000000,500.90076127000003,104.67211471819955
--opt --autoopt,1,10000000,226.60714339999998,73.8303499342983
,2,10000000,496.12327283,71.72372021935601
--opt,2,10000000,303.31181203,56.53339785421199
--autoopt,2,10000000,367.30688192,81.3770757922534
--opt --autoopt,2,10000000,186.20672052,53.66435786719908
,3,10000000,477.79732078999996,63.43038618277667
--opt,3,10000000,288.96451356,42.73886374165048
--autoopt,3,10000000,338.83590202999994,68.1183409104376
--opt --autoopt,3,10000000,177.84479075000002,39.87932468351556
,4,10000000,464.53802532,66.11821588359638
--opt,4,10000000,284.15683049999996,41.68533958541889
--autoopt,4,10000000,342.36736922999995,67.71659232631129
--opt --autoopt,4,10000000,179.43537686,42.56607065214626
,5,10000000,452.27475258000004,53.58213405881518
--opt,5,10000000,295.8133041,42.30904815493932
--autoopt,5,10000000,326.27084864999995,56.2795356701145
--opt --autoopt,5,10000000,177.85448201,40.63533837761838
,8,10000000,354.22891833000006,46.05534119435311
--opt,8,10000000,285.60519887,40.20310858755133
--autoopt,8,10000000,239.23935978999998,52.669303576013924
--opt --autoopt,8,10000000,167.57828309999996,37.45127704796604
,12,10000000,300.42292130000004,46.902296159429014
--opt,12,10000000,289.11246571999993,57.19076002829602
--autoopt,12,10000000,212.52953612,47.719986262711046
--opt --autoopt,12,10000000,184.03283161000002,41.78291276366514
