optimizations,threads,array_size,exec_time,std_dev
,1,10000000,622.7967488,168.01102088984368
--opt,1,10000000,367.93332512,93.9137449473621
--autoopt,1,10000000,465.06923021999995,136.29183872852016
--opt --autoopt,1,10000000,224.88861450000002,103.36648215242691
,2,10000000,593.58991254,116.44185113780216
--opt,2,10000000,411.29443868000004,103.41904529447498
--autoopt,2,10000000,378.69732813999997,102.01290595017852
--opt --autoopt,2,10000000,192.81603856,65.57421136417356
,3,10000000,485.65038918,93.59087560053567
--opt,3,10000000,300.99089735999996,53.47564445744025
--autoopt,3,10000000,348.12482666,94.86696610615148
--opt --autoopt,3,10000000,185.63835566,59.86611276440153
,4,10000000,483.824495,85.89416691523388
--opt,4,10000000,301.8321488799999,60.64284824244889
--autoopt,4,10000000,353.13143153999994,95.318981586214
--opt --autoopt,4,10000000,189.23162683999996,55.82416829311911
,5,10000000,466.44724002000004,81.74887605415346
--opt,5,10000000,330.06276888,74.66490544789993
--autoopt,5,10000000,336.19399456,81.67265734027325
--opt --autoopt,5,10000000,186.57158019999997,60.425084974827094
,8,10000000,374.10067363999997,75.65725966898093
--opt,8,10000000,300.5201317,60.19676832970782
--autoopt,8,10000000,250.08322311999999,66.50308183421504
--opt --autoopt,8,10000000,218.85543266,75.69367787579687
,12,10000000,333.5011230200001,60.53753379970755
--opt,12,10000000,299.58465637999996,55.576558110421274
--autoopt,12,10000000,212.58649511999997,58.46279708098966
--opt --autoopt,12,10000000,190.29899061999998,53.16605391329734
