optimizations,threads,array_size,exec_time
,1,100000,4.543923499999547
--opt,1,100000,2.643927499999865
--autoopt,1,100000,4.241763999999648
--opt --autoopt,1,100000,2.4903194999996714
,2,100000,4.192360000000228
--opt,2,100000,2.977420500000161
--autoopt,2,100000,3.9855834999995565
--opt --autoopt,2,100000,2.8264884999993356
,3,100000,4.841924499999539
--opt,3,100000,3.0434055000001514
--autoopt,3,100000,4.411396000000067
--opt --autoopt,3,100000,2.7046625000002322
,4,100000,4.56363549999983
--opt,4,100000,2.8208454999996135
--autoopt,4,100000,4.387147000000091
--opt --autoopt,4,100000,2.887974499999224
,5,100000,5.774636499999541
--opt,5,100000,3.4089074999998914
--autoopt,5,100000,4.127434499999971
--opt --autoopt,5,100000,2.9340984999999264
,8,100000,3.757214999999814
--opt,8,100000,3.372956500000246
--autoopt,8,100000,3.811290499998954
--opt --autoopt,8,100000,3.050957500000173
,12,100000,4.912988500000104
--opt,12,100000,3.6020214999998856
--autoopt,12,100000,5.44386849999956
--opt --autoopt,12,100000,3.5358820000004343
