optimizations,threads,array_size,exec_time
,1,10000000,632.9541134999994
--opt,1,10000000,353.24632650000075
--autoopt,1,10000000,472.2012885
--opt --autoopt,1,10000000,230.87379900000028
,2,10000000,518.0822109999995
--opt,2,10000000,316.7689929999993
--autoopt,2,10000000,359.41141300000015
--opt --autoopt,2,10000000,167.3288865
,3,10000000,447.34636799999896
--opt,3,10000000,273.3344559999997
--autoopt,3,10000000,316.98454450000037
--opt --autoopt,3,10000000,172.6460515000001
,4,10000000,433.4073954999997
--opt,4,10000000,279.18654149999963
--autoopt,4,10000000,314.86013800000023
--opt --autoopt,4,10000000,166.93437450000027
,5,10000000,430.52736000000016
--opt,5,10000000,276.5063670000005
--autoopt,5,10000000,306.81687700000015
--opt --autoopt,5,10000000,165.19656250000025
,8,10000000,324.15451700000017
--opt,8,10000000,281.88355649999994
--autoopt,8,10000000,217.74224500000017
--opt --autoopt,8,10000000,166.6770849999999
,12,10000000,293.01146699999947
--opt,12,10000000,264.5763170000004
--autoopt,12,10000000,188.14282249999968
--opt --autoopt,12,10000000,172.73566849999966
