optimizations,threads,array_size,exec_time
,1,1000,0.030222999999995892
--opt,1,1000,0.09330250000028073
--autoopt,1,1000,0.027645999999936777
--opt --autoopt,1,1000,0.10971599999987092
,2,1000,0.6447750000004859
--opt,2,1000,0.5578659999998514
--autoopt,2,1000,0.5554215000000973
--opt --autoopt,2,1000,0.5104335000005733
,3,1000,0.7051425000001998
--opt,3,1000,0.5877335000001871
--autoopt,3,1000,0.6562995000001237
--opt --autoopt,3,1000,0.685846000000101
,4,1000,1.8187009999999226
--opt,4,1000,0.6176794999999125
--autoopt,4,1000,0.8390249999994381
--opt --autoopt,4,1000,0.6570885000001248
,5,1000,1.0954275000001346
--opt,5,1000,0.8303339999997661
--autoopt,5,1000,1.0182764999999705
--opt --autoopt,5,1000,0.841289000000689
,8,1000,2.6574350000001523
--opt,8,1000,0.8753989999998879
--autoopt,8,1000,1.8171924999998978
--opt --autoopt,8,1000,0.9031874999996248
,12,1000,2.4277274999997545
--opt,12,1000,1.3458760000002457
--autoopt,12,1000,2.2738459999995797
--opt --autoopt,12,1000,1.4711619999996373
